file,method,train_loss,test_loss,explained_variance,d_source,d_target
layer_12_to_23_lasso.npz,lasso,0.761594599368264,1.080233366074812,-0.1661797763926387,2304,1536
layer_12_to_23_linear.npz,linear,0.7615945993683009,1.0802333701238167,-0.16617978513091947,2304,1536
layer_12_to_23_low_rank_rank128.npz,low_rank,0.856796430204071,0.9933364750306518,0.013876772650306513,2304,1536
layer_12_to_23_low_rank_rank256.npz,low_rank,0.826681702634145,1.019288285393789,-0.03830660206786218,2304,1536
layer_12_to_23_low_rank_rank32.npz,low_rank,0.9025032408529813,0.9689903839760038,0.061634199425785186,2304,1536
layer_12_to_23_low_rank_rank64.npz,low_rank,0.8812846385549239,0.9768854666154414,0.04628357345662648,2304,1536
layer_15_to_23_lasso.npz,lasso,0.754518354355408,1.0676389693158739,-0.1391278172770063,2304,1536
layer_15_to_23_linear.npz,linear,0.7545183543554301,1.0676389727884548,-0.13912782468702978,2304,1536
layer_15_to_23_low_rank_rank128.npz,low_rank,0.8530609204752452,0.9844824530973131,0.031398748633830076,2304,1536
layer_15_to_23_low_rank_rank256.npz,low_rank,0.8217884783747863,1.008240533220834,-0.015895765833686015,2304,1536
layer_15_to_23_low_rank_rank32.npz,low_rank,0.90150111321757,0.9661683872824429,0.06708768446201796,2304,1536
layer_15_to_23_low_rank_rank64.npz,low_rank,0.8789290385734839,0.9705528536474659,0.05861429414301844,2304,1536
layer_18_to_23_lasso.npz,lasso,0.7490473848182252,1.0616018062065673,-0.12632464247530195,2304,1536
layer_18_to_23_linear.npz,linear,0.7490473848182438,1.0616018100537672,-0.12632465063304332,2304,1536
layer_18_to_23_low_rank_rank128.npz,low_rank,0.8520627460966463,0.9819424482960802,0.036349337906308454,2304,1536
layer_18_to_23_low_rank_rank256.npz,low_rank,0.8193494101440555,1.004184549797145,-0.007786790163391233,2304,1536
layer_18_to_23_low_rank_rank32.npz,low_rank,0.9015623504146686,0.9650152801559414,0.06929744259674553,2304,1536
layer_18_to_23_low_rank_rank64.npz,low_rank,0.878727308049301,0.9697565199156671,0.06012326833386039,2304,1536
layer_21_to_23_lasso.npz,lasso,0.7472820021336354,1.0661765861782555,-0.1360629730359333,2304,1536
layer_21_to_23_linear.npz,linear,0.747282002133657,1.066176589596324,-0.13606298031358288,2304,1536
layer_21_to_23_low_rank_rank128.npz,low_rank,0.8519587591433776,0.9859075747874056,0.028548254801811446,2304,1536
layer_21_to_23_low_rank_rank256.npz,low_rank,0.8188749041404288,1.0079244003494088,-0.015305684141498688,2304,1536
layer_21_to_23_low_rank_rank32.npz,low_rank,0.9017020287480314,0.9687008876772196,0.062153761365118076,2304,1536
layer_21_to_23_low_rank_rank64.npz,low_rank,0.8788588535957617,0.9732135937434794,0.0533987690866935,2304,1536
layer_25_to_23_lasso.npz,lasso,0.7498548027588775,1.0699054749402768,-0.14395066674760204,2304,1536
layer_25_to_23_linear.npz,linear,0.7498548027588995,1.069905475474567,-0.14395066788957922,2304,1536
layer_25_to_23_low_rank_rank128.npz,low_rank,0.8534206048795854,0.9891912787766299,0.02214927028034519,2304,1536
layer_25_to_23_low_rank_rank256.npz,low_rank,0.8205906224985358,1.011663566165716,-0.02278086232768839,2304,1536
layer_25_to_23_low_rank_rank32.npz,low_rank,0.9029245427606317,0.9712665229245567,0.05726515012766542,2304,1536
layer_25_to_23_low_rank_rank64.npz,low_rank,0.8801224612513738,0.9756521623821417,0.048739860618004394,2304,1536
layer_3_to_20_lasso.npz,lasso,0.7868882116914989,1.1353657778335282,-0.2881869168677482,2304,1536
layer_3_to_20_linear.npz,linear,0.786888211691533,1.1353657857040924,-0.28818693474395296,2304,1536
layer_3_to_20_low_rank_rank128.npz,low_rank,0.8652875612032579,1.049859720412449,-0.10142614005907835,2304,1536
layer_3_to_20_low_rank_rank256.npz,low_rank,0.834513890382546,1.083250172403767,-0.1726240241223982,2304,1536
layer_3_to_20_low_rank_rank32.npz,low_rank,0.9109951774067694,1.003522689898902,-0.006349882938975648,2304,1536
layer_3_to_20_low_rank_rank64.npz,low_rank,0.8907140318154636,1.0224430222653507,-0.044656792820737756,2304,1536
layer_6_to_20_lasso.npz,lasso,0.7773421310888957,1.1083339385222133,-0.22762424239774215,2304,1536
layer_6_to_20_linear.npz,linear,0.7773421310889338,1.1083339419130231,-0.22762424991147645,2304,1536
layer_6_to_20_low_rank_rank128.npz,low_rank,0.8588258734929469,1.0293252648816422,-0.05884006579298995,2304,1536
layer_6_to_20_low_rank_rank256.npz,low_rank,0.8271152446824656,1.0595981757843964,-0.12203625726209455,2304,1536
layer_6_to_20_low_rank_rank32.npz,low_rank,0.906452465811457,0.9893293655628824,0.021846224642620315,2304,1536
layer_6_to_20_low_rank_rank64.npz,low_rank,0.8852223390764282,1.004715336037871,-0.008837206110191342,2304,1536
layer_9_to_20_lasso.npz,lasso,0.7701393786004378,1.0917788563086863,-0.19122601227536862,2304,1536
layer_9_to_20_linear.npz,linear,0.7701393786004764,1.0917788614450994,-0.19122602347556672,2304,1536
layer_9_to_20_low_rank_rank128.npz,low_rank,0.8553340757791468,1.0191552270057975,-0.038009809208911616,2304,1536
layer_9_to_20_low_rank_rank256.npz,low_rank,0.8223692003398583,1.04683987600482,-0.09518901250654621,2304,1536
layer_9_to_20_low_rank_rank32.npz,low_rank,0.904636142450138,0.9846809502228488,0.031040439736123027,2304,1536
layer_9_to_20_low_rank_rank64.npz,low_rank,0.8824944635861415,0.9972549809058037,0.0061137433834758115,2304,1536
