file,method,train_loss,test_loss,explained_variance,d_source,d_target
layer_10_to_31_lasso.npz,lasso,0.6854964921505815,1.1299029907506102,-0.27565040499796845,3072,2560
layer_10_to_31_linear.npz,linear,0.6854964921531197,1.1299017249677579,-0.27564754826237636,3072,2560
layer_10_to_31_low_rank_rank128.npz,low_rank,0.782805740349042,1.033741988160756,-0.0677399757315893,3072,2560
layer_10_to_31_low_rank_rank256.npz,low_rank,0.7614698593916562,1.0525336085140906,-0.10691497367606506,3072,2560
layer_10_to_31_low_rank_rank32.npz,low_rank,0.8187416728802865,1.01357063366947,-0.026488638821628108,3072,2560
layer_10_to_31_low_rank_rank64.npz,low_rank,0.8009912549020055,1.02152342822397,-0.04266257426092501,3072,2560
layer_13_to_31_lasso.npz,lasso,0.6811033782359518,1.123226222049584,-0.2608776532587216,3072,2560
layer_13_to_31_linear.npz,linear,0.6811033782373954,1.12322534694673,-0.2608756885681718,3072,2560
layer_13_to_31_low_rank_rank128.npz,low_rank,0.7801624804836197,1.0283202725385459,-0.05682901728051548,3072,2560
layer_13_to_31_low_rank_rank256.npz,low_rank,0.7582662258222366,1.0462705840178637,-0.09404086462138017,3072,2560
layer_13_to_31_low_rank_rank32.npz,low_rank,0.8171781707788522,1.0108899294903742,-0.021317394821835478,3072,2560
layer_13_to_31_low_rank_rank64.npz,low_rank,0.7990114689628007,1.017223127962612,-0.03413789913037801,3072,2560
layer_16_to_31_lasso.npz,lasso,0.6787486185779847,1.115315308790683,-0.24330947549958237,3072,2560
layer_16_to_31_linear.npz,linear,0.6787486185780596,1.1153150016186169,-0.2433087905332325,3072,2560
layer_16_to_31_low_rank_rank128.npz,low_rank,0.780799697027466,1.0243373504029964,-0.04876422276504333,3072,2560
layer_16_to_31_low_rank_rank256.npz,low_rank,0.7579733343045805,1.0405486268734951,-0.08222136994531892,3072,2560
layer_16_to_31_low_rank_rank32.npz,low_rank,0.8188964407944544,1.0091581227126118,-0.017919727506697347,3072,2560
layer_16_to_31_low_rank_rank64.npz,low_rank,0.8002312707771508,1.0146844790996548,-0.02909767887996728,3072,2560
layer_20_to_31_lasso.npz,lasso,0.6787993057723187,1.1188179019914983,-0.25112483907608385,3072,2560
layer_20_to_31_linear.npz,linear,0.6787993057723356,1.1188177811951099,-0.25112456888439283,3072,2560
layer_20_to_31_low_rank_rank128.npz,low_rank,0.7819071252735066,1.0283232184079483,-0.0569514281966117,3072,2560
layer_20_to_31_low_rank_rank256.npz,low_rank,0.7588746389131809,1.044240643075998,-0.08991769525789661,3072,2560
layer_20_to_31_low_rank_rank32.npz,low_rank,0.8202091592865597,1.0133877497053279,-0.026472543639676882,3072,2560
layer_20_to_31_low_rank_rank64.npz,low_rank,0.8016273639755912,1.0192003099129057,-0.03827866978667349,3072,2560
layer_23_to_31_lasso.npz,lasso,0.677935859402884,1.11606825959901,-0.24490802167199432,3072,2560
layer_23_to_31_linear.npz,linear,0.6779358594028899,1.1160682274901896,-0.24490795006784616,3072,2560
layer_23_to_31_low_rank_rank128.npz,low_rank,0.7813948625786091,1.0259179566868282,-0.051939429085364974,3072,2560
layer_23_to_31_low_rank_rank256.npz,low_rank,0.7582977646423593,1.0417969141097632,-0.08474770622309524,3072,2560
layer_23_to_31_low_rank_rank32.npz,low_rank,0.8197291283259023,1.0111891480499586,-0.02194039323582997,3072,2560
layer_23_to_31_low_rank_rank64.npz,low_rank,0.8010334846131157,1.0166806019356611,-0.03307326935747534,3072,2560
layer_27_to_31_lasso.npz,lasso,0.6744365315287091,1.1112511147204516,-0.23437317841072658,3072,2560
layer_27_to_31_linear.npz,linear,0.6744365315287648,1.1112510884945692,-0.23437312013987532,3072,2560
layer_27_to_31_low_rank_rank128.npz,low_rank,0.778835747335815,1.021901941239523,-0.0438984906532256,3072,2560
layer_27_to_31_low_rank_rank256.npz,low_rank,0.7554186984287402,1.0370924618562745,-0.07515590199762001,3072,2560
layer_27_to_31_low_rank_rank32.npz,low_rank,0.8178191354152371,1.0084079536839585,-0.016509362972256136,3072,2560
layer_27_to_31_low_rank_rank64.npz,low_rank,0.7988573808279676,1.01323602556148,-0.026267734496268957,3072,2560
layer_3_to_31_linear.npz,linear,0.6937931257380063,1.1414513490647824,-0.3020187904129872,3072,2560
layer_3_to_31_low_rank_rank128.npz,low_rank,0.7895523218388123,1.040932404779266,-0.08279127564901101,3072,2560
layer_3_to_31_low_rank_rank32.npz,low_rank,0.8238823117809496,1.0182735895634927,-0.036181615048845206,3072,2560
layer_3_to_31_low_rank_rank64.npz,low_rank,0.8070603139724721,1.0274912523957638,-0.05501922321880204,3072,2560
layer_6_to_31_lasso.npz,lasso,0.6885077932544553,1.1303772695422758,-0.2770287042424331,3072,2560
layer_6_to_31_linear.npz,linear,0.6885077932596292,1.130375301572118,-0.2770242571368544,3072,2560
layer_6_to_31_low_rank_rank128.npz,low_rank,0.7855145470961963,1.034222267100322,-0.06902931480201557,3072,2560
layer_6_to_31_low_rank_rank256.npz,low_rank,0.7642834007649377,1.0528516822058012,-0.107886761162159,3072,2560
layer_6_to_31_low_rank_rank32.npz,low_rank,0.8211538047776872,1.013870877541091,-0.02738261145823606,3072,2560
layer_6_to_31_low_rank_rank64.npz,low_rank,0.8036075065019999,1.0217818033250599,-0.04347536009503772,3072,2560
