file,method,train_loss,test_loss,explained_variance,d_source,d_target
layer_10_to_18_lasso.npz,lasso,0.7138495847268882,1.1678267708136767,-0.36297233431908027,3072,2304
layer_10_to_18_linear.npz,linear,0.7138495847302265,1.1678253864520742,-0.3629691035806972,3072,2304
layer_10_to_18_low_rank_rank128.npz,low_rank,0.8505833222765788,1.0296251846728635,-0.05948604045509609,3072,2304
layer_10_to_18_low_rank_rank256.npz,low_rank,0.8209514322184067,1.0580480018370753,-0.11878633696932095,3072,2304
layer_10_to_18_low_rank_rank32.npz,low_rank,0.8913138274577087,0.99991329094815,0.0007666115750921687,3072,2304
layer_10_to_18_low_rank_rank64.npz,low_rank,0.8727340303434659,1.0110032387617922,-0.02151998592269022,3072,2304
layer_13_to_18_lasso.npz,lasso,0.7108469319491243,1.1648492603325584,-0.35607805817298055,3072,2304
layer_13_to_18_linear.npz,linear,0.7108469319510817,1.1648482669712066,-0.35607574516026474,3072,2304
layer_13_to_18_low_rank_rank128.npz,low_rank,0.8497799195797183,1.0296307067829045,-0.059504372082229695,3072,2304
layer_13_to_18_low_rank_rank256.npz,low_rank,0.819545614276593,1.0571532059897928,-0.11691739989688377,3072,2304
layer_13_to_18_low_rank_rank32.npz,low_rank,0.8910887338196196,1.001529139015066,-0.0024554126615981,3072,2304
layer_13_to_18_low_rank_rank64.npz,low_rank,0.8724950600562051,1.0117847712021386,-0.023093854580251927,3072,2304
layer_16_to_18_lasso.npz,lasso,0.7097517775175566,1.1627938045544524,-0.35126959371100464,3072,2304
layer_16_to_18_linear.npz,linear,0.709751777517746,1.1627934295644076,-0.35126872207067117,3072,2304
layer_16_to_18_low_rank_rank128.npz,low_rank,0.8518623981260977,1.0318506773661833,-0.06410984765642858,3072,2304
layer_16_to_18_low_rank_rank256.npz,low_rank,0.821035386787281,1.057935813100846,-0.11858293842810297,3072,2304
layer_16_to_18_low_rank_rank32.npz,low_rank,0.8935837958368009,1.0055086467168424,-0.01046729695772508,3072,2304
layer_16_to_18_low_rank_rank64.npz,low_rank,0.8748368324989961,1.0156479082234524,-0.030942525984313463,3072,2304
layer_20_to_18_lasso.npz,lasso,0.7124235918647793,1.1700618590129686,-0.3680943032525401,3072,2304
layer_20_to_18_linear.npz,linear,0.7124235918648228,1.1700617072789385,-0.36809394846295107,3072,2304
layer_20_to_18_low_rank_rank128.npz,low_rank,0.8536383062465914,1.0358511735298652,-0.07223397325864367,3072,2304
layer_20_to_18_low_rank_rank256.npz,low_rank,0.8230126234623859,1.0630928868378757,-0.12934882414850946,3072,2304
layer_20_to_18_low_rank_rank32.npz,low_rank,0.8949787479908464,1.0077309071936718,-0.014800241114117263,3072,2304
layer_20_to_18_low_rank_rank64.npz,low_rank,0.8763288142517145,1.0191395160541534,-0.037904659157390164,3072,2304
layer_23_to_18_lasso.npz,lasso,0.7150526495093924,1.1729053962790856,-0.3747533014546618,3072,2304
layer_23_to_18_linear.npz,linear,0.715052649509411,1.1729053406993546,-0.37475317115975404,3072,2304
layer_23_to_18_low_rank_rank128.npz,low_rank,0.8545756127024636,1.0379731166776718,-0.07662486492704934,3072,2304
layer_23_to_18_low_rank_rank256.npz,low_rank,0.8244190909026361,1.0655928399047312,-0.13467439885054056,3072,2304
layer_23_to_18_low_rank_rank32.npz,low_rank,0.8956571785183314,1.0092729180315916,-0.017897605980909503,3072,2304
layer_23_to_18_low_rank_rank64.npz,low_rank,0.8770552428505453,1.0208406200704336,-0.04137747425846894,3072,2304
layer_3_to_18_lasso.npz,lasso,0.7205096151412659,1.187149191439443,-0.40842500724231035,3072,2304
layer_3_to_18_linear.npz,linear,0.720509615164957,1.187144688399887,-0.40841432132365196,3072,2304
layer_3_to_18_low_rank_rank128.npz,low_rank,0.8544414492685339,1.0414520420392561,-0.08392858002700576,3072,2304
layer_3_to_18_low_rank_rank256.npz,low_rank,0.8256455279513067,1.0726345166782016,-0.1498158596704684,3072,2304
layer_3_to_18_low_rank_rank32.npz,low_rank,0.8933945725885386,1.0064815816461479,-0.012361691619296344,3072,2304
layer_3_to_18_low_rank_rank64.npz,low_rank,0.8757112127799873,1.0205379500873661,-0.040826217153752564,3072,2304
layer_6_to_18_lasso.npz,lasso,0.7157635751099888,1.1733757581228903,-0.3758273407356447,3072,2304
layer_6_to_18_linear.npz,linear,0.7157635751167567,1.1733735809066594,-0.3758222348360918,3072,2304
layer_6_to_18_low_rank_rank128.npz,low_rank,0.8519781376138172,1.0340046379597805,-0.06838882969589877,3072,2304
layer_6_to_18_low_rank_rank256.npz,low_rank,0.8225674875010154,1.0630833782595077,-0.1293216135582036,3072,2304
layer_6_to_18_low_rank_rank32.npz,low_rank,0.8920775251450092,1.002769611886666,-0.004803431476639641,3072,2304
layer_6_to_18_low_rank_rank64.npz,low_rank,0.8738382764189272,1.0148826883579627,-0.02922304975558143,3072,2304
