layer_a,layer_b,cka_score
0,0,0.0935518446225618
0,2,0.06949185891565617
0,5,0.010784559865798056
0,8,0.010621188662707013
0,11,0.010091886190529458
0,14,0.01205955812180087
0,17,0.01806923073438915
0,20,0.028221860580360813
0,23,0.10118784491700404
1,0,0.0986226833400007
1,2,0.0772011254163899
1,5,0.011105957988803022
1,8,0.011111485070285242
1,11,0.010574880975761229
1,14,0.012794403502493333
1,17,0.019216201711117254
1,20,0.031052709378327947
1,23,0.12092785899353115
3,0,0.10600838324240652
3,2,0.08859593573921334
3,5,0.01350730652734601
3,8,0.013628156905262178
3,11,0.013145271841074824
3,14,0.016515088342077273
3,17,0.025697122736810258
3,20,0.042082640508403775
3,23,0.1435920284271467
5,0,0.10539095835780263
5,2,0.09238695601983483
5,5,0.01343070540560712
5,8,0.013863192773664866
5,11,0.013549689300294331
5,14,0.017551060662705856
5,17,0.028039626957441867
5,20,0.04771452498439421
5,23,0.1549320876637124
7,0,0.1069956877761369
7,2,0.09461252699066698
7,5,0.015062511602281635
7,8,0.015745159956240113
7,11,0.01561847464269707
7,14,0.020013134118848842
7,17,0.03125818705522002
7,20,0.05224196215389201
7,23,0.16266881530624147
9,0,0.11012251117945111
9,2,0.10046972373332844
9,5,0.013927393025450348
9,8,0.014780194770218417
9,11,0.015216501370954478
9,14,0.020954801414021434
9,17,0.03619608886017083
9,20,0.06519450674928444
9,23,0.19468133211001024
11,0,0.10752407802018824
11,2,0.09619661227541884
11,5,0.014301194477774162
11,8,0.014902074425540536
11,11,0.015177307564201473
11,14,0.020886817142784106
11,17,0.03765378512964385
11,20,0.0686790221883578
11,23,0.19835249751918618
13,0,0.10524900017436328
13,2,0.09462672079232107
13,5,0.015022275555910845
13,8,0.015561772029160743
13,11,0.01588650189684904
13,14,0.021773534857786055
13,17,0.039425398868899744
13,20,0.07184338679710048
13,23,0.20823589944068285
15,0,0.05631664058380069
15,2,0.05102677981130825
15,5,0.014535120653671362
15,8,0.014351020412503286
15,11,0.013420888536307388
15,14,0.013748135868476657
15,17,0.018882154297843318
15,20,0.03145935268712051
15,23,0.14788361427505337
