layer_a,layer_b,cka_score
0,0,0.04566322352427893
0,3,0.05846004710469262
0,6,0.06299450199599424
0,10,0.07422392435019731
0,13,0.07537579350169633
0,16,0.08092720027277074
0,20,0.08246364746839382
0,23,0.07264794433133041
0,27,0.04037226827468785
3,0,0.05487801733200197
3,3,0.07901054379516284
3,6,0.08211779204493894
3,10,0.09611451889919055
3,13,0.1016188872353637
3,16,0.10842492645785778
3,20,0.11106289949276581
3,23,0.10630007274841573
3,27,0.06227585152628317
6,0,0.05721075301463951
6,3,0.08635993176128409
6,6,0.09127126975319999
6,10,0.10847181903247975
6,13,0.11722408164706617
6,16,0.12577446676295662
6,20,0.12806339587209775
6,23,0.12410967118828696
6,27,0.07368195721604234
9,0,0.05902652112673837
9,3,0.09499571346865007
9,6,0.10081694970234949
9,10,0.1211310586194912
9,13,0.13428289556714249
9,16,0.14376505587400262
9,20,0.14496557165933438
9,23,0.14145753791972004
9,27,0.08164636063365949
12,0,0.05591550124781069
12,3,0.09679455580332419
12,6,0.10159826383838302
12,10,0.12351040899598967
12,13,0.14168493275385788
12,16,0.1526849098601
12,20,0.15610597335072385
12,23,0.1594201002779963
12,27,0.09323201940945648
15,0,0.064462277767741
15,3,0.11412982154944418
15,6,0.11853392030362833
15,10,0.14214662530892294
15,13,0.16620956002858006
15,16,0.1798523195517187
15,20,0.1882486537086871
15,23,0.19606976937361953
15,27,0.12214691374510714
18,0,0.0695233882807212
18,3,0.12072596548974121
18,6,0.12442766377298657
18,10,0.1470401161723309
18,13,0.17159693670776305
18,16,0.18646278354317397
18,20,0.20052054629848384
18,23,0.22236279337046988
18,27,0.14122574058707407
21,0,0.06350564127222612
21,3,0.1120979181926844
21,6,0.11861253816841448
21,10,0.139590559931189
21,13,0.1596431978545117
21,16,0.17224551149356782
21,20,0.18337896380688595
21,23,0.20834206927355542
21,27,0.12475562516045031
25,0,0.035690708361895196
25,3,0.06250578041594074
25,6,0.0610349662916894
25,10,0.0682323035805067
25,13,0.07784966060871469
25,16,0.08488293664282982
25,20,0.09447110087255851
25,23,0.10974023976315896
25,27,0.08012636914796288
