layer_a,layer_b,cka_score
0,0,0.08223633683024235
0,3,0.013680587967614436
0,7,0.01235709473058929
0,11,0.012068764260939096
0,15,0.013838518336863097
0,19,0.019521141136217033
0,23,0.03292904095238282
0,27,0.03927406681741017
0,31,0.08664439672874927
3,0,0.09295135080365148
3,3,0.0168318425675211
3,7,0.015397573868470696
3,11,0.01542854806894473
3,15,0.01795620900639817
3,19,0.026182951834073407
3,23,0.04711147515961404
3,27,0.05689124734074909
3,31,0.11980840889196549
6,0,0.09504554028928289
6,3,0.01822809827060916
6,7,0.016860779849572474
6,11,0.017066463900283973
6,15,0.019781005241276486
6,19,0.02926001499185336
6,23,0.05416963727998665
6,27,0.06535017244443803
6,31,0.12702455796706727
10,0,0.09873532852216436
10,3,0.01798465945295544
10,7,0.016716875836393655
10,11,0.01715197733962822
10,15,0.020310805690680632
10,19,0.03150764252203844
10,23,0.06236574368824138
10,27,0.07618151595568998
10,31,0.14260426967866144
13,0,0.10682130898974783
13,3,0.017159191386008965
13,7,0.015927487922687104
13,11,0.0164729756401987
13,15,0.020343211673662157
13,19,0.03358708041571714
13,23,0.07076614161386069
13,27,0.08769140767652135
13,31,0.16378170626996932
16,0,0.11003392807397054
16,3,0.014447400121360962
16,7,0.013619223648938245
16,11,0.014408811658093223
16,15,0.019335540174774832
16,19,0.03601384893247172
16,23,0.08511057268653617
16,27,0.10787548254357203
16,31,0.18093442686108943
20,0,0.09409090169855938
20,3,0.011536232625311062
20,7,0.010876514435382503
20,11,0.01156365770579033
20,15,0.016197055012687363
20,19,0.03301694440372769
20,23,0.08579801688356316
20,27,0.11185082816475812
20,31,0.17635242213083158
23,0,0.08887940246361051
23,3,0.010898403411257846
23,7,0.010276379006024924
23,11,0.011008711861023906
23,15,0.015582639913742658
23,19,0.03271921691081163
23,23,0.08879330914028034
23,27,0.11689576487014805
23,31,0.17735126758830413
27,0,0.05691297513063418
27,3,0.006997517441709145
27,7,0.00594598923396422
27,11,0.005973275537433755
27,15,0.007775933438316859
27,19,0.015077320201233172
27,23,0.03742754205555332
27,27,0.04948123045598256
27,31,0.13659252020988674
